"berkas_citra","nama"
"6__M_Left_little_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Left_middle_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Left_ring_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Left_thumb_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Right_index_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Right_little_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Right_middle_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Right_ring_finger.BMP","Rickey Altenwerth-Abshire MD"
"6__M_Right_thumb_finger.BMP","Rickey Altenwerth-Abshire MD"
"7__M_Left_index_finger.BMP","Katherine Durgan"
"7__M_Left_little_finger.BMP","Katherine Durgan"
"7__M_Left_middle_finger.BMP","Katherine Durgan"
"7__M_Left_ring_finger.BMP","Katherine Durgan"
"7__M_Left_thumb_finger.BMP","Katherine Durgan"
"7__M_Right_index_finger.BMP","Katherine Durgan"
"7__M_Right_little_finger.BMP","Katherine Durgan"
"7__M_Right_middle_finger.BMP","Katherine Durgan"
"7__M_Right_ring_finger.BMP","Katherine Durgan"
"7__M_Right_thumb_finger.BMP","Katherine Durgan"
"8__M_Left_index_finger.BMP","Dr. Don Murphy"
"8__M_Left_little_finger.BMP","Dr. Don Murphy"
"8__M_Left_middle_finger.BMP","Dr. Don Murphy"
"8__M_Left_ring_finger.BMP","Dr. Don Murphy"
"8__M_Left_thumb_finger.BMP","Dr. Don Murphy"
"8__M_Right_index_finger.BMP","Dr. Don Murphy"
"8__M_Right_little_finger.BMP","Dr. Don Murphy"
"8__M_Right_middle_finger.BMP","Dr. Don Murphy"
"8__M_Right_ring_finger.BMP","Dr. Don Murphy"
"8__M_Right_thumb_finger.BMP","Dr. Don Murphy"
"9__M_Left_index_finger.BMP","Billie Rutherford-Moen"
"9__M_Left_little_finger.BMP","Billie Rutherford-Moen"
"9__M_Left_middle_finger.BMP","Billie Rutherford-Moen"
"9__M_Left_ring_finger.BMP","Billie Rutherford-Moen"
"9__M_Left_thumb_finger.BMP","Billie Rutherford-Moen"
"9__M_Right_index_finger.BMP","Billie Rutherford-Moen"
"9__M_Right_little_finger.BMP","Billie Rutherford-Moen"
"9__M_Right_middle_finger.BMP","Billie Rutherford-Moen"
"9__M_Right_ring_finger.BMP","Billie Rutherford-Moen"
"9__M_Right_thumb_finger.BMP","Billie Rutherford-Moen"
"10__M_Left_index_finger.BMP","Mona Gerlach"
"10__M_Left_little_finger.BMP","Mona Gerlach"
"10__M_Left_middle_finger.BMP","Mona Gerlach"
"10__M_Left_ring_finger.BMP","Mona Gerlach"
"10__M_Left_thumb_finger.BMP","Mona Gerlach"
"10__M_Right_index_finger.BMP","Mona Gerlach"
"10__M_Right_little_finger.BMP","Mona Gerlach"
"10__M_Right_middle_finger.BMP","Mona Gerlach"
"10__M_Right_ring_finger.BMP","Mona Gerlach"
"10__M_Right_thumb_finger.BMP","Mona Gerlach"
"11__M_Left_index_finger.BMP","Gwen Goyette"
"11__M_Left_little_finger.BMP","Gwen Goyette"
"11__M_Left_middle_finger.BMP","Gwen Goyette"
"11__M_Left_ring_finger.BMP","Gwen Goyette"
"11__M_Left_thumb_finger.BMP","Gwen Goyette"
"11__M_Right_index_finger.BMP","Gwen Goyette"
"11__M_Right_little_finger.BMP","Gwen Goyette"
"11__M_Right_middle_finger.BMP","Gwen Goyette"
"11__M_Right_ring_finger.BMP","Gwen Goyette"
"11__M_Right_thumb_finger.BMP","Gwen Goyette"
"12__M_Left_index_finger.BMP","Mercedes Satterfield"
"12__M_Left_little_finger.BMP","Mercedes Satterfield"
"12__M_Left_middle_finger.BMP","Mercedes Satterfield"
"12__M_Left_ring_finger.BMP","Mercedes Satterfield"
"12__M_Left_thumb_finger.BMP","Mercedes Satterfield"
"12__M_Right_index_finger.BMP","Mercedes Satterfield"
"12__M_Right_little_finger.BMP","Mercedes Satterfield"
"12__M_Right_middle_finger.BMP","Mercedes Satterfield"
"12__M_Right_ring_finger.BMP","Mercedes Satterfield"
"12__M_Right_thumb_finger.BMP","Mercedes Satterfield"
"13__F_Left_index_finger.BMP","Max Labadie"
"13__F_Left_little_finger.BMP","Max Labadie"
"13__F_Left_middle_finger.BMP","Max Labadie"
"13__F_Left_ring_finger.BMP","Max Labadie"
"13__F_Left_thumb_finger.BMP","Max Labadie"
"13__F_Right_index_finger.BMP","Max Labadie"
"13__F_Right_little_finger.BMP","Max Labadie"
"13__F_Right_middle_finger.BMP","Max Labadie"
"13__F_Right_ring_finger.BMP","Max Labadie"
"13__F_Right_thumb_finger.BMP","Max Labadie"
"14__M_Left_index_finger.BMP","Jessie Carroll"
"14__M_Left_little_finger.BMP","Jessie Carroll"
"14__M_Left_middle_finger.BMP","Jessie Carroll"
"14__M_Left_ring_finger.BMP","Jessie Carroll"
"14__M_Left_thumb_finger.BMP","Jessie Carroll"
"14__M_Right_index_finger.BMP","Jessie Carroll"
"14__M_Right_little_finger.BMP","Jessie Carroll"
"14__M_Right_middle_finger.BMP","Jessie Carroll"
"14__M_Right_ring_finger.BMP","Jessie Carroll"
"14__M_Right_thumb_finger.BMP","Jessie Carroll"
"15__F_Left_index_finger.BMP","Marshall Dare I"
"15__F_Left_little_finger.BMP","Marshall Dare I"
"15__F_Left_middle_finger.BMP","Marshall Dare I"
"15__F_Left_ring_finger.BMP","Marshall Dare I"
"15__F_Left_thumb_finger.BMP","Marshall Dare I"
"15__F_Right_index_finger.BMP","Marshall Dare I"
"15__F_Right_little_finger.BMP","Marshall Dare I"
"15__F_Right_middle_finger.BMP","Marshall Dare I"
"15__F_Right_ring_finger.BMP","Marshall Dare I"
"15__F_Right_thumb_finger.BMP","Marshall Dare I"
"16__M_Left_index_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Left_little_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Left_middle_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Left_ring_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Left_thumb_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Right_index_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Right_little_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Right_middle_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Right_ring_finger.BMP","Mr. Ramiro McLaughlin Sr."
"16__M_Right_thumb_finger.BMP","Mr. Ramiro McLaughlin Sr."
"17__M_Left_index_finger.BMP","Candice Pagac"
"17__M_Left_little_finger.BMP","Candice Pagac"
"17__M_Left_middle_finger.BMP","Candice Pagac"
"17__M_Left_ring_finger.BMP","Candice Pagac"
"17__M_Left_thumb_finger.BMP","Candice Pagac"
"17__M_Right_index_finger.BMP","Candice Pagac"
"17__M_Right_little_finger.BMP","Candice Pagac"
"17__M_Right_middle_finger.BMP","Candice Pagac"
"17__M_Right_ring_finger.BMP","Candice Pagac"
"17__M_Right_thumb_finger.BMP","Candice Pagac"
"18__M_Left_index_finger.BMP","Vincent Hintz"
"18__M_Left_little_finger.BMP","Vincent Hintz"
"18__M_Left_middle_finger.BMP","Vincent Hintz"
"18__M_Left_ring_finger.BMP","Vincent Hintz"
"18__M_Left_thumb_finger.BMP","Vincent Hintz"
"18__M_Right_index_finger.BMP","Vincent Hintz"
"18__M_Right_little_finger.BMP","Vincent Hintz"
"18__M_Right_middle_finger.BMP","Vincent Hintz"
"18__M_Right_ring_finger.BMP","Vincent Hintz"
"18__M_Right_thumb_finger.BMP","Vincent Hintz"
"19__M_Left_index_finger.BMP","Benjamin Abernathy MD"
"19__M_Left_little_finger.BMP","Benjamin Abernathy MD"
"19__M_Left_middle_finger.BMP","Benjamin Abernathy MD"
"19__M_Left_ring_finger.BMP","Benjamin Abernathy MD"
"19__M_Left_thumb_finger.BMP","Benjamin Abernathy MD"
"19__M_Right_index_finger.BMP","Benjamin Abernathy MD"
"19__M_Right_little_finger.BMP","Benjamin Abernathy MD"
"19__M_Right_middle_finger.BMP","Benjamin Abernathy MD"
"19__M_Right_ring_finger.BMP","Benjamin Abernathy MD"
"19__M_Right_thumb_finger.BMP","Benjamin Abernathy MD"
"20__M_Left_index_finger.BMP","Carlton Altenwerth"
"20__M_Left_little_finger.BMP","Carlton Altenwerth"
"20__M_Left_middle_finger.BMP","Carlton Altenwerth"
"20__M_Left_ring_finger.BMP","Carlton Altenwerth"
"20__M_Left_thumb_finger.BMP","Carlton Altenwerth"
"20__M_Right_index_finger.BMP","Carlton Altenwerth"
"20__M_Right_little_finger.BMP","Carlton Altenwerth"
"20__M_Right_middle_finger.BMP","Carlton Altenwerth"
"20__M_Right_ring_finger.BMP","Carlton Altenwerth"
"20__M_Right_thumb_finger.BMP","Carlton Altenwerth"
"21__M_Left_index_finger.BMP","Tyrone DuBuque"
"21__M_Left_little_finger.BMP","Tyrone DuBuque"
"21__M_Left_middle_finger.BMP","Tyrone DuBuque"
"21__M_Left_ring_finger.BMP","Tyrone DuBuque"
"21__M_Left_thumb_finger.BMP","Tyrone DuBuque"
"21__M_Right_index_finger.BMP","Tyrone DuBuque"
"21__M_Right_little_finger.BMP","Tyrone DuBuque"
"21__M_Right_middle_finger.BMP","Tyrone DuBuque"
"21__M_Right_ring_finger.BMP","Tyrone DuBuque"
"21__M_Right_thumb_finger.BMP","Tyrone DuBuque"
"22__M_Left_index_finger.BMP","Ken Schowalter"
"22__M_Left_little_finger.BMP","Ken Schowalter"
"22__M_Left_middle_finger.BMP","Ken Schowalter"
"22__M_Left_ring_finger.BMP","Ken Schowalter"
"22__M_Left_thumb_finger.BMP","Ken Schowalter"
"22__M_Right_index_finger.BMP","Ken Schowalter"
"22__M_Right_little_finger.BMP","Ken Schowalter"
"22__M_Right_middle_finger.BMP","Ken Schowalter"
"22__M_Right_ring_finger.BMP","Ken Schowalter"
"22__M_Right_thumb_finger.BMP","Ken Schowalter"
"23__M_Left_index_finger.BMP","Kayla Watsica"
"23__M_Left_little_finger.BMP","Kayla Watsica"
"23__M_Left_middle_finger.BMP","Kayla Watsica"
"23__M_Left_ring_finger.BMP","Kayla Watsica"
"23__M_Left_thumb_finger.BMP","Kayla Watsica"
"23__M_Right_index_finger.BMP","Kayla Watsica"
"23__M_Right_little_finger.BMP","Kayla Watsica"
"23__M_Right_middle_finger.BMP","Kayla Watsica"
"23__M_Right_ring_finger.BMP","Kayla Watsica"
"23__M_Right_thumb_finger.BMP","Kayla Watsica"
"24__F_Left_index_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Left_little_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Left_middle_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Left_ring_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Left_thumb_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Right_index_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Right_little_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Right_middle_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Right_ring_finger.BMP","Marcus Kemmer-Kunze"
"24__F_Right_thumb_finger.BMP","Marcus Kemmer-Kunze"
"25__F_Left_index_finger.BMP","Freda Weber"
"25__F_Left_little_finger.BMP","Freda Weber"
"25__F_Left_middle_finger.BMP","Freda Weber"
"25__F_Left_ring_finger.BMP","Freda Weber"
"25__F_Left_thumb_finger.BMP","Freda Weber"
"25__F_Right_index_finger.BMP","Freda Weber"
"25__F_Right_little_finger.BMP","Freda Weber"
"25__F_Right_middle_finger.BMP","Freda Weber"
"25__F_Right_ring_finger.BMP","Freda Weber"
"25__F_Right_thumb_finger.BMP","Freda Weber"
"26__M_Left_index_finger.BMP","Grant O'Conner"
"26__M_Left_little_finger.BMP","Grant O'Conner"
"26__M_Left_middle_finger.BMP","Grant O'Conner"
"26__M_Left_ring_finger.BMP","Grant O'Conner"
"26__M_Left_thumb_finger.BMP","Grant O'Conner"
"26__M_Right_index_finger.BMP","Grant O'Conner"
"26__M_Right_little_finger.BMP","Grant O'Conner"
"26__M_Right_middle_finger.BMP","Grant O'Conner"
"26__M_Right_ring_finger.BMP","Grant O'Conner"
"26__M_Right_thumb_finger.BMP","Grant O'Conner"
"27__M_Left_index_finger.BMP","Carolyn Green"
"27__M_Left_little_finger.BMP","Carolyn Green"
"27__M_Left_middle_finger.BMP","Carolyn Green"
"27__M_Left_ring_finger.BMP","Carolyn Green"
"27__M_Left_thumb_finger.BMP","Carolyn Green"
"27__M_Right_index_finger.BMP","Carolyn Green"
"27__M_Right_little_finger.BMP","Carolyn Green"
"27__M_Right_middle_finger.BMP","Carolyn Green"
"27__M_Right_ring_finger.BMP","Carolyn Green"
"27__M_Right_thumb_finger.BMP","Carolyn Green"
"28__M_Left_index_finger.BMP","Sean Ward"
"28__M_Left_little_finger.BMP","Sean Ward"
"28__M_Left_middle_finger.BMP","Sean Ward"
"28__M_Left_ring_finger.BMP","Sean Ward"
"28__M_Left_thumb_finger.BMP","Sean Ward"
"28__M_Right_index_finger.BMP","Sean Ward"
"28__M_Right_little_finger.BMP","Sean Ward"
"28__M_Right_middle_finger.BMP","Sean Ward"
"28__M_Right_ring_finger.BMP","Sean Ward"
"28__M_Right_thumb_finger.BMP","Sean Ward"
"29__F_Left_index_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Left_little_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Left_middle_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Left_ring_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Left_thumb_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Right_index_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Right_little_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Right_middle_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Right_ring_finger.BMP","Nelson Tillman-Wisoky"
"29__F_Right_thumb_finger.BMP","Nelson Tillman-Wisoky"
"30__F_Left_index_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Left_little_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Left_middle_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Left_ring_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Left_thumb_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Right_index_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Right_little_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Right_middle_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Right_ring_finger.BMP","Kristi Dickens-Runolfsdottir"
"30__F_Right_thumb_finger.BMP","Kristi Dickens-Runolfsdottir"
"31__F_Left_index_finger.BMP","Carolyn Witting MD"
"31__F_Left_little_finger.BMP","Carolyn Witting MD"
"31__F_Left_middle_finger.BMP","Carolyn Witting MD"
"31__F_Left_ring_finger.BMP","Carolyn Witting MD"
"31__F_Left_thumb_finger.BMP","Carolyn Witting MD"
"31__F_Right_index_finger.BMP","Carolyn Witting MD"
"31__F_Right_little_finger.BMP","Carolyn Witting MD"
"31__F_Right_middle_finger.BMP","Carolyn Witting MD"
"31__F_Right_ring_finger.BMP","Carolyn Witting MD"
"31__F_Right_thumb_finger.BMP","Carolyn Witting MD"
"32__M_Left_index_finger.BMP","Peggy Powlowski"
"32__M_Left_little_finger.BMP","Peggy Powlowski"
"32__M_Left_middle_finger.BMP","Peggy Powlowski"
"32__M_Left_ring_finger.BMP","Peggy Powlowski"
"32__M_Left_thumb_finger.BMP","Peggy Powlowski"
"32__M_Right_index_finger.BMP","Peggy Powlowski"
"32__M_Right_little_finger.BMP","Peggy Powlowski"
"32__M_Right_middle_finger.BMP","Peggy Powlowski"
"32__M_Right_ring_finger.BMP","Peggy Powlowski"
"32__M_Right_thumb_finger.BMP","Peggy Powlowski"
"33__M_Left_index_finger.BMP","Mrs. Adrienne Mante"
"33__M_Left_little_finger.BMP","Mrs. Adrienne Mante"
"33__M_Left_middle_finger.BMP","Mrs. Adrienne Mante"
"33__M_Left_ring_finger.BMP","Mrs. Adrienne Mante"
"33__M_Left_thumb_finger.BMP","Mrs. Adrienne Mante"
"33__M_Right_index_finger.BMP","Mrs. Adrienne Mante"
"33__M_Right_little_finger.BMP","Mrs. Adrienne Mante"
"33__M_Right_middle_finger.BMP","Mrs. Adrienne Mante"
"33__M_Right_ring_finger.BMP","Mrs. Adrienne Mante"
"33__M_Right_thumb_finger.BMP","Mrs. Adrienne Mante"
"34__M_Left_index_finger.BMP","Lorene Mraz"
"34__M_Left_little_finger.BMP","Lorene Mraz"
"34__M_Left_middle_finger.BMP","Lorene Mraz"
"34__M_Left_ring_finger.BMP","Lorene Mraz"
"34__M_Left_thumb_finger.BMP","Lorene Mraz"
"34__M_Right_index_finger.BMP","Lorene Mraz"
"34__M_Right_little_finger.BMP","Lorene Mraz"
"34__M_Right_middle_finger.BMP","Lorene Mraz"
"34__M_Right_ring_finger.BMP","Lorene Mraz"
"34__M_Right_thumb_finger.BMP","Lorene Mraz"
"35__M_Left_index_finger.BMP","Naomi Macejkovic"
"35__M_Left_little_finger.BMP","Naomi Macejkovic"
"35__M_Left_middle_finger.BMP","Naomi Macejkovic"
"35__M_Left_ring_finger.BMP","Naomi Macejkovic"
"35__M_Left_thumb_finger.BMP","Naomi Macejkovic"
"35__M_Right_index_finger.BMP","Naomi Macejkovic"
"35__M_Right_little_finger.BMP","Naomi Macejkovic"
"35__M_Right_middle_finger.BMP","Naomi Macejkovic"
"35__M_Right_ring_finger.BMP","Naomi Macejkovic"
"35__M_Right_thumb_finger.BMP","Naomi Macejkovic"
"36__M_Left_index_finger.BMP","Sandra Jones"
"36__M_Left_little_finger.BMP","Sandra Jones"
"36__M_Left_middle_finger.BMP","Sandra Jones"
"36__M_Left_ring_finger.BMP","Sandra Jones"
"36__M_Left_thumb_finger.BMP","Sandra Jones"
"36__M_Right_index_finger.BMP","Sandra Jones"
"36__M_Right_little_finger.BMP","Sandra Jones"
"36__M_Right_middle_finger.BMP","Sandra Jones"
"36__M_Right_ring_finger.BMP","Sandra Jones"
"36__M_Right_thumb_finger.BMP","Sandra Jones"
"37__M_Left_index_finger.BMP","Sammy Considine"
"37__M_Left_little_finger.BMP","Sammy Considine"
"37__M_Left_middle_finger.BMP","Sammy Considine"
"37__M_Left_ring_finger.BMP","Sammy Considine"
"37__M_Left_thumb_finger.BMP","Sammy Considine"
"37__M_Right_index_finger.BMP","Sammy Considine"
"37__M_Right_little_finger.BMP","Sammy Considine"
"37__M_Right_middle_finger.BMP","Sammy Considine"
"37__M_Right_ring_finger.BMP","Sammy Considine"
"37__M_Right_thumb_finger.BMP","Sammy Considine"
"38__M_Left_index_finger.BMP","Rufus Fadel"
"38__M_Left_little_finger.BMP","Rufus Fadel"
"38__M_Left_middle_finger.BMP","Rufus Fadel"
"38__M_Left_ring_finger.BMP","Rufus Fadel"
"38__M_Left_thumb_finger.BMP","Rufus Fadel"
"38__M_Right_index_finger.BMP","Rufus Fadel"
"38__M_Right_little_finger.BMP","Rufus Fadel"
"38__M_Right_middle_finger.BMP","Rufus Fadel"
"38__M_Right_ring_finger.BMP","Rufus Fadel"
"38__M_Right_thumb_finger.BMP","Rufus Fadel"
"39__M_Left_index_finger.BMP","Kathleen Kunze"
"39__M_Left_little_finger.BMP","Kathleen Kunze"
"39__M_Left_middle_finger.BMP","Kathleen Kunze"
"39__M_Left_ring_finger.BMP","Kathleen Kunze"
"39__M_Left_thumb_finger.BMP","Kathleen Kunze"
"39__M_Right_index_finger.BMP","Kathleen Kunze"
"39__M_Right_little_finger.BMP","Kathleen Kunze"
"39__M_Right_middle_finger.BMP","Kathleen Kunze"
"39__M_Right_ring_finger.BMP","Kathleen Kunze"
"39__M_Right_thumb_finger.BMP","Kathleen Kunze"
"40__F_Left_index_finger.BMP","Kellie Runte"
"40__F_Left_little_finger.BMP","Kellie Runte"
"40__F_Left_middle_finger.BMP","Kellie Runte"
"40__F_Left_ring_finger.BMP","Kellie Runte"
"40__F_Left_thumb_finger.BMP","Kellie Runte"
"40__F_Right_index_finger.BMP","Kellie Runte"
"40__F_Right_little_finger.BMP","Kellie Runte"
"40__F_Right_middle_finger.BMP","Kellie Runte"
"40__F_Right_ring_finger.BMP","Kellie Runte"
"40__F_Right_thumb_finger.BMP","Kellie Runte"
"41__M_Left_index_finger.BMP","Melba Lind"
"41__M_Left_little_finger.BMP","Melba Lind"
"41__M_Left_middle_finger.BMP","Melba Lind"
"41__M_Left_ring_finger.BMP","Melba Lind"
"41__M_Left_thumb_finger.BMP","Melba Lind"
"41__M_Right_index_finger.BMP","Melba Lind"
"41__M_Right_little_finger.BMP","Melba Lind"
"41__M_Right_middle_finger.BMP","Melba Lind"
"41__M_Right_ring_finger.BMP","Melba Lind"
"41__M_Right_thumb_finger.BMP","Melba Lind"
"42__F_Left_index_finger.BMP","Gilbert Keebler"
"42__F_Left_little_finger.BMP","Gilbert Keebler"
"42__F_Left_middle_finger.BMP","Gilbert Keebler"
"42__F_Left_ring_finger.BMP","Gilbert Keebler"
"42__F_Left_thumb_finger.BMP","Gilbert Keebler"
"42__F_Right_index_finger.BMP","Gilbert Keebler"
"42__F_Right_little_finger.BMP","Gilbert Keebler"
"42__F_Right_middle_finger.BMP","Gilbert Keebler"
"42__F_Right_ring_finger.BMP","Gilbert Keebler"
"42__F_Right_thumb_finger.BMP","Gilbert Keebler"
"43__F_Left_index_finger.BMP","Donnie Bogisich"
"43__F_Left_little_finger.BMP","Donnie Bogisich"
"43__F_Left_middle_finger.BMP","Donnie Bogisich"
"43__F_Left_ring_finger.BMP","Donnie Bogisich"
"43__F_Left_thumb_finger.BMP","Donnie Bogisich"
"43__F_Right_index_finger.BMP","Donnie Bogisich"
"43__F_Right_little_finger.BMP","Donnie Bogisich"
"43__F_Right_middle_finger.BMP","Donnie Bogisich"
"43__F_Right_ring_finger.BMP","Donnie Bogisich"
"43__F_Right_thumb_finger.BMP","Donnie Bogisich"
"44__M_Left_index_finger.BMP","Barry Gutkowski"
"44__M_Left_little_finger.BMP","Barry Gutkowski"
"44__M_Left_middle_finger.BMP","Barry Gutkowski"
"44__M_Left_ring_finger.BMP","Barry Gutkowski"
"44__M_Left_thumb_finger.BMP","Barry Gutkowski"
"44__M_Right_index_finger.BMP","Barry Gutkowski"
"44__M_Right_little_finger.BMP","Barry Gutkowski"
"44__M_Right_middle_finger.BMP","Barry Gutkowski"
"44__M_Right_ring_finger.BMP","Barry Gutkowski"
"44__M_Right_thumb_finger.BMP","Barry Gutkowski"
"45__M_Left_index_finger.BMP","Robert Hirthe"
"45__M_Left_little_finger.BMP","Robert Hirthe"
"45__M_Left_middle_finger.BMP","Robert Hirthe"
"45__M_Left_ring_finger.BMP","Robert Hirthe"
"45__M_Left_thumb_finger.BMP","Robert Hirthe"
"45__M_Right_index_finger.BMP","Robert Hirthe"
"45__M_Right_little_finger.BMP","Robert Hirthe"
"45__M_Right_middle_finger.BMP","Robert Hirthe"
"45__M_Right_ring_finger.BMP","Robert Hirthe"
"45__M_Right_thumb_finger.BMP","Robert Hirthe"
"46__M_Left_index_finger.BMP","Ruby Kub DDS"
"46__M_Left_little_finger.BMP","Ruby Kub DDS"
"46__M_Left_middle_finger.BMP","Ruby Kub DDS"
"46__M_Left_ring_finger.BMP","Ruby Kub DDS"
"46__M_Left_thumb_finger.BMP","Ruby Kub DDS"
"46__M_Right_index_finger.BMP","Ruby Kub DDS"
"46__M_Right_little_finger.BMP","Ruby Kub DDS"
"46__M_Right_middle_finger.BMP","Ruby Kub DDS"
"46__M_Right_ring_finger.BMP","Ruby Kub DDS"
"46__M_Right_thumb_finger.BMP","Ruby Kub DDS"
"47__F_Left_index_finger.BMP","Dr. Julio Ankunding"
"47__F_Left_little_finger.BMP","Dr. Julio Ankunding"
"47__F_Left_middle_finger.BMP","Dr. Julio Ankunding"
"47__F_Left_ring_finger.BMP","Dr. Julio Ankunding"
"47__F_Left_thumb_finger.BMP","Dr. Julio Ankunding"
"47__F_Right_index_finger.BMP","Dr. Julio Ankunding"
"47__F_Right_little_finger.BMP","Dr. Julio Ankunding"
"47__F_Right_middle_finger.BMP","Dr. Julio Ankunding"
"47__F_Right_ring_finger.BMP","Dr. Julio Ankunding"
"47__F_Right_thumb_finger.BMP","Dr. Julio Ankunding"
"48__F_Left_index_finger.BMP","Lionel Pagac"
"48__F_Left_little_finger.BMP","Lionel Pagac"
"48__F_Left_middle_finger.BMP","Lionel Pagac"
"48__F_Left_ring_finger.BMP","Lionel Pagac"
"48__F_Left_thumb_finger.BMP","Lionel Pagac"
"48__F_Right_index_finger.BMP","Lionel Pagac"
"48__F_Right_little_finger.BMP","Lionel Pagac"
"48__F_Right_middle_finger.BMP","Lionel Pagac"
"48__F_Right_ring_finger.BMP","Lionel Pagac"
